,,INPUT PARAMETERS,,,,,,,,,OUTPUT,,,,,,
City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,,,,,, 
Mumbai,12/28/2019,75.77,140.33,28.21,35.86,63.78,18.35,0.98,8.75,33.43,167,,,,,,
Mumbai,12/29/2019,75.81,145.75,26.83,36.07,62.91,18.59,0.98,9.36,36.88,160,,,,,,
Mumbai,12/30/2019,86.42,155.08,27.84,36.03,62.84,18.84,1.03,9.28,41.98,181,,,,,,
Mumbai,12/31/2019,65.76,127.82,16.87,37.46,54.33,15.52,0.82,10.47,56.55,159,,,,,,
Mumbai,1/1/2020,104.06,183.88,40.17,46.39,85.81,15.69,1.22,10.98,45.97,194,,,,,,
Mumbai,1/2/2020,107.87,171.73,14.73,41.14,55.87,16.86,1.02,8.03,48.34,260,,,,,,
Mumbai,1/3/2020,93.64,157.8,18.77,40.42,59.18,15.47,0.97,7.94,48.31,221,,,,,,
Mumbai,1/4/2020,94.05,158.44,13.92,39.68,53.59,15.1,0.96,6.66,49.76,225,,,,,,
Mumbai,1/5/2020,91.04,162.68,28.01,39.93,67.61,16.3,1.1,7.9,39.59,229,,,,,,
Mumbai,1/6/2020,70.2,142.64,24.3,38.91,63.21,18.3,1.01,8.68,43.46,157,,,,,,
Mumbai,1/7/2020,87.2,165.84,44.5,42.33,85.98,21.67,1.29,9.46,31.33,177,,,,,,
Mumbai,1/8/2020,64.97,120.55,23.68,29.07,50.91,18.76,0.89,7.73,36.12,166,,,,,,
Mumbai,1/9/2020,59.98,126.87,16.13,38.98,54.9,15.59,0.85,8.96,39.85,122,,,,,,
Mumbai,1/10/2020,65.06,143.74,22.62,43.01,65.51,14.29,0.93,10.04,36.59,127,,,,,,
Mumbai,1/11/2020,76.71,162.07,31.83,43.56,72.78,22.54,1.08,10.12,38.7,151,,,,,,
Mumbai,1/12/2020,98.12,194.66,57.3,38.02,92.98,26.77,1.47,10.84,33.46,211,,,,,,
Mumbai,1/13/2020,68.39,120.46,18.8,29.65,47.02,23.91,0.84,6.73,28.54,178,,,,,,
Mumbai,1/14/2020,36.33,97.67,21.17,26.54,46.51,18.73,0.7,6.28,30.25,100,,,,,,
Mumbai,1/15/2020,30.53,91.62,18.69,30.43,49.11,15.37,0.65,6.32,37.85,97,,,,,,
Mumbai,1/16/2020,34.16,84.73,15.66,31.54,47.2,16.18,0.66,5.95,37.14,90,,,,,,
Mumbai,1/17/2020,51,115.87,21.31,41.19,62.5,15.45,0.68,6.3,38.68,93,,,,,,
Mumbai,1/18/2020,87.28,167.77,21.29,55.99,77.28,18.35,0.98,7.63,37.57,160,,,,,,
Mumbai,1/19/2020,96.1,195.03,48.56,48.29,93.9,20.81,1.12,8.28,35.96,213,,,,,,
Mumbai,1/20/2020,89.26,181.54,49.49,47.23,93.54,22.7,1.3,10.52,41.83,205,,,,,,
Mumbai,1/21/2020,96.99,207.73,65,44.95,104.64,23.11,1.58,10.32,37.38,227,,,,,,
Mumbai,1/22/2020,78.69,173.23,71.62,42.07,110.22,22.24,1.49,11.8,37.74,192,,,,,,
Mumbai,1/23/2020,87.78,189.99,39.85,44.52,84.15,22.07,1.24,11.77,40.14,196,,,,,,
Mumbai,1/24/2020,73.57,163.95,36.83,40.8,76.32,20.89,1.17,11.7,39.02,172,,,,,,
Mumbai,1/25/2020,91.57,192.11,43.7,43.88,85.32,22.38,1.32,14.01,47.99,182,,,,,,
Mumbai,1/26/2020,103.35,210.51,47.34,43.92,88.43,22.89,1.4,13.46,39.74,253,,,,,,
